date,Ward_No,mean,month,year,week
2018-07-16,39.0,-0.5654999953532471,7.0,2018.0,29
2018-07-23,39.0,-0.6929776324177488,7.0,2018.0,30
2018-07-30,39.0,-0.26467215418367346,7.0,2018.0,31
2018-08-06,39.0,-0.17292564346196704,7.857142857142857,2018.0,32
2018-08-13,39.0,-0.30947820735714276,8.0,2018.0,33
2018-08-20,39.0,-0.9418573740055664,8.0,2018.0,34
2018-08-27,39.0,-0.8564968090303031,8.0,2018.0,35
2018-09-03,39.0,-0.7311121053413733,8.428571428571429,2018.0,36
2018-09-10,39.0,-0.5535813665102042,9.0,2018.0,37
2018-09-17,39.0,-0.5828224848552878,9.0,2018.0,38
2018-09-24,39.0,-0.41057409631910957,9.0,2018.0,39
2018-10-01,39.047008547008545,-0.1808030846188257,9.166666666666666,2018.0,40
2018-10-08,39.0,-0.5551385343116882,10.0,2018.0,41
2018-10-15,39.0,-0.04984981176190475,10.0,2018.0,42
2018-10-22,39.0,-0.06941579069696961,10.0,2018.0,43
2018-10-29,39.0,-0.009699386361471793,10.0,2018.0,44
2018-11-05,39.0,-0.13830945190538024,10.714285714285714,2018.0,45
2018-11-12,39.0,-0.32743065358070517,11.0,2018.0,46
2018-11-19,39.0,-0.37790349343413726,11.0,2018.0,47
2018-11-26,39.0,-0.21472573777179974,11.0,2018.0,48
2018-12-03,39.0,-0.5048629178497218,11.428571428571429,2018.0,49
2018-12-10,39.0,-0.48385645238311664,12.0,2018.0,50
2018-12-17,39.0,-0.7411563925367965,12.0,2018.0,51
2018-12-24,39.0,-0.6699271359888684,12.0,2018.0,52
2018-12-31,39.0,-0.6979380474916513,12.0,2018.0,1
2019-01-07,39.0,-0.46600690107421167,1.0,2019.0,2
2019-01-14,39.0,-0.4733036823803341,1.0,2019.0,3
2019-01-21,39.0,-0.6381769391094618,1.0,2019.0,4
2019-01-28,39.0,-0.8079843005955473,1.0,2019.0,5
2019-02-04,39.0,-0.582830575257885,1.5714285714285714,2019.0,6
2019-02-11,39.0,-0.5479511443673469,2.0,2019.0,7
2019-02-18,39.0,-0.8023475620315402,2.0,2019.0,8
2019-02-25,39.0,-0.49978539642640696,2.0,2019.0,9
2019-03-04,39.0,-0.9702655137736546,2.5714285714285716,2019.0,10
2019-03-11,39.0,-0.5288537996215215,3.0,2019.0,11
2019-03-18,39.0,-0.6951544844322821,3.0,2019.0,12
2019-03-25,39.0,-0.01406552371428559,3.0,2019.0,13
2019-04-01,39.0,0.06785052513506491,3.2,2019.0,14
2019-04-08,39.0,0.09777000797402595,4.0,2019.0,15
2019-04-15,39.0,0.236034156729128,4.0,2019.0,16
2019-04-22,39.0,-0.6073900169350649,4.0,2019.0,17
2019-04-29,39.0,0.3267777022411874,4.0,2019.0,18
2019-05-06,39.0,0.34456887301669764,4.857142857142857,2019.0,19
2019-05-13,39.0,0.4070594827884973,5.0,2019.0,20
2019-05-20,39.0,-0.009121952153988795,5.0,2019.0,21
2019-05-27,39.0,-0.22792693756029672,5.0,2019.0,22
2019-06-03,39.0,0.1133888412077922,5.333333333333333,2019.0,23
2019-06-10,39.0,0.45176126047680887,6.0,2019.0,24
2019-06-17,39.0,-0.4916928072059369,6.0,2019.0,25
2019-06-24,39.0,-0.605459133781076,6.0,2019.0,26
2019-07-01,39.0,-0.17356978017996294,6.142857142857143,2019.0,27
2019-07-08,39.0,-0.534123595560606,7.0,2019.0,28
2019-07-15,39.0,-0.21816035498484884,7.0,2019.0,29
2019-07-22,39.0,-0.6145059978849724,7.0,2019.0,30
2019-07-29,39.0,-1.0818712898645642,7.0,2019.0,31
2019-08-05,39.0,-1.0530121767050094,7.714285714285714,2019.0,32
2019-08-12,39.0,-1.2104702089202226,8.0,2019.0,33
2019-08-19,39.0,-1.1122660405435993,8.0,2019.0,34
2019-08-26,39.0,-0.8530961980686458,8.0,2019.0,35
2019-09-02,39.0,-1.337206926625232,8.285714285714286,2019.0,36
2019-09-09,39.0,-1.3469295917458255,9.0,2019.0,37
2019-09-16,39.0,-0.9258351935658624,9.0,2019.0,38
2019-09-23,39.0,-1.2226960975120593,9.0,2019.0,39
2019-09-30,39.0,-1.4764121037031541,9.0,2019.0,40
2019-10-07,39.0,-0.6418614380352504,10.0,2019.0,41
2019-10-14,39.0,-0.8359131749332096,10.0,2019.0,42
2019-10-21,39.0,-0.9188505110649351,10.0,2019.0,43
2019-10-28,39.0,-0.944430222673469,10.0,2019.0,44
2019-11-04,39.0,-0.6912920515510201,10.571428571428571,2019.0,45
2019-11-11,39.0,-1.1491591731113175,11.0,2019.0,46
2019-11-18,39.0,-0.6372154449758813,11.0,2019.0,47
2019-11-25,39.0,-1.2076335095129875,11.0,2019.0,48
2019-12-02,39.0,-1.0904870415584413,11.285714285714286,2019.0,49
2019-12-09,39.0,-0.9900218405435991,12.0,2019.0,50
2019-12-16,39.0,-1.001269823372913,12.0,2019.0,51
2019-12-23,39.0,-1.124802920042671,12.0,2019.0,52
2019-12-30,39.0,-1.1154713748367349,12.0,2019.0,1
2020-01-06,39.0,-0.919789842447124,2.5714285714285716,2019.857142857143,2
2020-01-13,39.0,-1.1040424860500928,1.0,2020.0,3
2020-01-20,39.0,-1.0453284472207796,1.0,2020.0,4
2020-01-27,39.0,-1.0800965736679033,1.0,2020.0,5
2020-02-03,39.0,-1.0744333908744588,1.3333333333333333,2020.0,6
2020-02-10,39.0,-1.3295457189925792,2.0,2020.0,7
2020-02-17,39.0,-0.9104178707748919,2.0,2020.0,8
2020-02-24,39.0,-1.0075044662096475,2.0,2020.0,9
2020-03-02,39.0,-1.0485959785102041,2.2857142857142856,2020.0,10
2020-03-09,39.0,-0.9165592854118739,3.0,2020.0,11
2020-03-16,39.0,-0.633375039594805,3.0,2020.0,12
2020-03-23,39.0,-0.7039447188497218,3.0,2020.0,13
2020-03-30,39.0,-0.9481452551669758,3.0,2020.0,14
2020-04-06,39.0,-0.6217738173432281,3.857142857142857,2020.0,15
2020-04-13,39.0,-0.19118499220037094,4.0,2020.0,16
2020-04-20,39.0,-0.8890000904415583,4.0,2020.0,17
2020-04-27,39.0,-0.9142263110519487,4.0,2020.0,18
2020-05-04,39.0,-0.32364294373654917,4.571428571428571,2020.0,19
2020-05-11,39.0,-0.5348574807179964,5.0,2020.0,20
2020-05-18,39.0,-0.5141612426864562,5.0,2020.0,21
2020-05-25,39.0,0.030787878927643824,5.0,2020.0,22
2020-06-01,39.0,-0.21621052398144705,5.142857142857143,2020.0,23
2020-06-08,39.0,-0.7964994679981449,6.0,2020.0,24
2020-06-15,39.0,-0.7886382281205938,6.0,2020.0,25
2020-06-22,39.0,-0.06361057318738392,6.0,2020.0,26
2020-06-29,39.0,-0.7174307666753247,6.0,2020.0,27
2020-07-06,39.0,-0.6186758669285713,6.833333333333333,2020.0,28
2020-07-13,39.0,-1.0601151109053804,7.0,2020.0,29
2020-07-20,39.0,-1.3026664112337665,7.0,2020.0,30
2020-07-27,39.0,-1.0942498212263452,7.0,2020.0,31
2020-08-03,39.0,-1.235758389402598,7.5,2020.0,32
2020-08-10,39.0,-1.2596478108293139,8.0,2020.0,33
2020-08-17,39.0,-1.2701017961057506,8.0,2020.0,34
2020-08-24,39.0,-1.4758502048812618,8.0,2020.0,35
2020-08-31,39.0,-1.2537160836883117,8.0,2020.0,36
2020-09-07,39.0,-1.1837870225547313,9.0,2020.0,37
2020-09-14,39.0,-1.325923107020408,9.0,2020.0,38
2020-09-21,39.0,-1.3147905680909093,9.0,2020.0,39
2020-09-28,39.0,-1.3474295720185532,9.0,2020.0,40
2020-10-05,39.0,-0.9126070878441556,9.714285714285714,2020.0,41
2020-10-12,39.0,-0.8758816566233767,10.0,2020.0,42
2020-10-19,39.0,-0.9662102307532459,10.0,2020.0,43
